Word,Root Word
ad,ada
ak,aku
akn,akan
ank,anak
ap,apa
awl,awal
bg,bagi
bkn,bukan
blm,belum
bnjr,banjir
bnr,benar
br,baru
brp,berapa
bt,buat
byr,bayar
ddk,duduk
dgn,dengan
dkt,dekat
dlm,dalam
dn,dan
dpt,dapat
drpd,daripada
dtg,datang
dtk,datuk
empt,empat
fhm,faham
grk,gerak
igt,ingat
jd,jadi
jgn,jangan
jln,jalan
kjt,kejut
klr,keluar
knp,kenapa
kpd,kepada
krn,kerana
kwl,kawal
lg,lagi
lps,lepas
lrg,lorong
mdh,mudah
mjls,majlis
mkn,makan
mmg,memang
mrh,marah
msk,masuk
nk,nak
org,orang
pd,pada
pg,pagi
phm,faham
pkl,pukul
plg,pulang
pny,punya
rmh,rumah
sbb,sebab
sdh,sudah
sklh,sekolah
skt,sakit
slh,salah
slmt,selamat
smbln,sembilan
smlm,semalam
smn,saman
sy,saya
tgh,tengah
tgk,tengok
tk,tidak
tkr,tukar
tmpt,tempat
tny,tanya
ttg,tentang
utk,untuk
yg,yang
ade,ada
harge,harga
cinte,cinta
kene,kena
kenape,kenapa
kerje,kerja
istimewe,istimewa
cite,cerita
betol,betul
btol,betul
bolat,bulat
kalo,kalau
pulak,pula
jdi,jadi
btul,betul
bgi,bagi
bnar,benar
hrga,harga
slimut,selimut
dtang,datang
klau,kalau
knapa,kenapa
krja,kerja
lbih,lebih
skit,sakit
prnah,pernah
slah,salah
sya,saya
sbab,sebab
smalam,semalam
sndiri,sendiri
tman,taman
tngah,tengah
mlas,malas
bwang,bawang
rmai,ramai
tngok,tengok
x,tidak
k,okay
besaq,besar
beso,besar
besar,besar
besa,besar
godang,besar
besau,besar
pikiaq,fikir
pikior,fikir
pikir,fikir
fikir,fikir
ghaya,raya
raye,raya
rayo,raya
raya,raya
ghayo,raya
panaih,panas
paneh,panas
panah,panas
panas,panas
suka,suka
gemor,suka
suke,suka
suko,suka
pinggan,pinggan
pinggang,pinggan
pingge,pinggan
semut,semut
semuk,semut
somut,semut
demam,demam
dedor,demam
demang,demam
deme,demam
domam,demam
lemah,lemah
lemoh,lemah
lomah,lemah
kedekut,kedekut
kedekuk,kedekut
kodokut,kedekut
pengabadian,abadi
pengabdian,abdi
pengacaraan,acara
pengadangan,adang
pengadilan,adil
pengairan,air
pengakaran,akar
pengaktifan,aktif
pengalaman,alam
pengaman,aman
pengamatan,amat
pengambilalihan,ambilalih
penganugerahan,anugerah
pengarangan,arang
pengasidan,asid
pengasingan,asing
pengauditan,audit
pengawetan,awet
pengebumian,kebumi
pengecapan,cap
pengecatan,cat
penggajian,gaji
penggaraman,garam
penggelapan,gelap
penggeledahan,geledah
penggemblengan,gembleng
penggemukan,gemuk
penggerudian,gerudi
penggredan,gred
penggubalan,gubal
penghabisan,habis
penghakiman,hakim
penghamilan,hamil
pengharaman,haram
penghargaan,harga
penghilangan,hilang
penghindaran,hindar
pengiklanan,iklan
pengiktirafan,iktiraf
pengimejan,imej
pengimportan,import
penginapan,inap
pengindustrian,industri
pengingkaran,ingkar
pengintaian,intai
pengislaman,islam
pengisytiharan,isytihar
pengizinan,izin
pengabulan,kabul
pengapuran,kapur
pengasian,kasi
pengecualian,kecuali
pengecutan,kecut
pengekalan,kekal
pengelaman,kelam
pengelamunan,kelamun
pengelasan,kelas
pengembalian,kembali
pengembaraan,kembara
pengenaan,kena
pengencingan,kencing
pengenduran,kendur
pengeringan,kering
pengerjaan,kerja
pengerukan,keruk
pengerusikan,kerusi
pengesanan,kesan
pengetaman,ketam
pengkhianatan,khianat
pengkhususan,khusus
pengklorinan,klorin
pengkodan,kod
pengkomersialan,komersial
pengkomputeran,komputer
pengontangan,kontang
pengorbanan,korban
pengorekan,korek
pengkorporatan,korporat
pengosongan,kosong
penguasaan,kuasa
penguatan,kuat
penguatkuasaan,kuat kuasa
pengukuhan,kukuh
penguncupan,kuncup
pengurangan,kurang
pengurasan,kuras
penglibatan,libat
pengemukaan,kemuka
pengeraman,eram
pengoksidaan,oksida
pengoksigenan,oksigen
penganan,penganan
pengawinan,pengawinan
pengerawan,pengerawan
penggalan,penggal
pengklonan,klon
pengsan,pengsan
pengetahuan,tahu
pengudaraan,udara
pengumuman,umum
pengunduran,undur
pengusulan,usul
pengutamaan,utama
pengutaraan,utara
pengewapan,wap
pengajaran,ajar
pengabai,abai
pengampun,ampun
penganggur,anggur
penganiaya,aniaya
penganjur,anjur
pengantara,antara
penganut,anut
pengawas,awas
pengebom,bom
pengeksport,eksport
penggempur,gempur
penggoreng,goreng
penghadam,hadam
pengantar,antar
penghapus,hapus
penghasil,hasil
penghayat,hayat
penghebah,hebah
penghidap,hidap
penghidup,hidup
penghijrah,hijrah
penghormat,hormat
penghuni,huni
pengirit,irit
pengapit,apit
pengasih,kasih
pengawal,awal
pengecoh,kecoh
pengejut,kejut
pengendali,kendali
pengerusi,kerusi
pengumpul,kumpul
pengelap,lap
penglihat,lihat
penglipur,lipur
pengepam,pam
pengantin,pengantin
pengap,pengap
pengapuh,pengapuh
pengaruh,pengaruh
pengat,pengat
pengembar,pengembar
pengeng,pengeng
pengerek,pengerek
pengerih,pengerih
pengestu,restu
penget,penget
pengetus,ketus
pengetut,tut
pengga,pengga
penggah,penggah
penggal,penggal
penggawa,penggawa
penggehi,penggehi
penghulu,penghulu
pengilar,pengilar
pengkar,pengkar
pengki,pengki
pengkilai,pengkilai
pengkis,pengkis
pengorak,pengorak
pengulun,pengulun
pengepos,pos
pengesah,sah
pengusaha,usaha
pencabar,cabar
pengecam,kecam
pencari,cari
pencatat,catat
penceroboh,ceroboh
pencerut,cerut
pencinta,cinta
penculik,culik
pendaftar,daftar
pendamai,damai
pendapat,dapat
pendarah,pendarah
pendaulat,daulat
pendayang,dayang
pendengar,dengar
penderas,deras
penderhaka,derhaka
pendiayah,diayah
pendikit,dikit
pendinding,dinding
pendingin,dingin
pendiri,diri
pendua,dua
penduduk,duduk
penjual,jual
pencaus,pencaus
pencen,pencen
pencolam,pencolam
pencong,pencong
pencong-mencong,pencong
pencuk,pencuk
pendaga,pendaga
pendakwa,dakwa
pendam,pendam
pendap,pendap
pendapa,pendapa
pendar,pendar
pendawa,pendawa
pendek,pendek
pendekar,pendekar
pendeta,pendeta
pendiat,diat
pendipun,pendipun
pendongkok,dongkok
penduk,penduk
penes,penes
peni,peni
peniaram,peniaram
peniau,peniau
pening,pening
penisilin,penisilin
peniti,peniti
penjan,penjan
penjara,penjara
penjong,penjong
penjul,penjul
penjuru,penjuru
pensel,pensel
pensi,pensi
pentagon,pentagon
pentakwil,takwil
pental,pental
pentan,pentan
pentang,pentang
pentar,pentar
pentas,pentas
pentil,pentil
penting,penting
pentopan,pentopan
pentung,pentung
penubal,penubal
penuh,penuh
penujuh,penujuh
penyangak,penyangak
penyap,penyap
penyek,penyek
penyet,penyet
penyu,penyu
penyum,penyum
penstabil,stabil
penyudah,sudah
penyunting,sunting
penyair,penyair
penabalan,tabal
penabur,tabur
pentakrif,takrif
penamat,tamat
penambakan,tambak
penampilan,tampil
penandatangan,tandatangan
penangasan,tangas
penarafan,taraf
penataan,tata
pentauliahan,tauliah
penawar,tawar
penegakan,tegak
peneguhan,teguh
penelitian,teliti
penemuan,temu
penenang,tenang
penenggelaman,tenggelam
penentuan,tentu
penerapan,terap
penerbangan,terbang
penerimaan,terima
penerokaan,teroka
penetap,tetap
penirusan,tirus
penubuhan,tubuh
penundaan,tunda
penundukan,tunduk
penunggang,tunggang
penungguan,tunggu
penutupannya,tutup
penzahiran,zahir
penzinaan,zina
penzonan,zon
pencabulan,cabul
pencahayaan,cahaya
pencalonan,calon
pencederaan,cedera
pencemaran,cemar
pencerahan,cerah
pencergasan,cergas
pencernaan,cerna
pencopetan,copet
pendahuluan,dahulu
pendakian,daki
pendalangan,dalang
pendebungaan,pendebungaan
pendefinisian,definisi
pendekatan,dekat
pendemokrasian,demokrasi
pendermaan,derma
pendewaan,dewa
pendewasaan,dewasa
pendiangan,diang
pendidihan,didih
pendudukan,duduk
pendulangan,dulang
pendupaan,dupa
pendurjanaan,durjana
pendustaan,dusta
penjabaran,jabar
penjadualan,jadual
penjalaan,jala
penjaliran,jalir
penjangkauan,jangkau
penjaraan,jara
penjatian,jati
penjelajahan,jelajah
penjelasan,jelas
penjenamaan,jenama
penjenisan,jenis
penjilidan,jilid
penjimatan,jimat
penjiwaan,jiwa
penjudian,judi
penjumlahan,jumlah
penafian,nafi
penaiktarafan,naik taraf
penobatan,nobat
penomboran,nombor
penormalan,normal
penakan,anak
penampan,tampan
pendekkan,pendek
penyalahgunaan,salah guna
penyamaan,sama
penyaruan,saru
penyeberangan,seberang
penyegan,segan
pensejarahan,sejarah
penyelongkaran,selongkar
penyempurnaan,sempurna
penyerobotan,serobot
penyertaan,serta
penyingkiran,singkir
penyisihan,sisih
penyitaan,sita
penstrukturan,struktur
penyuaraan,suara
penyucian,suci
penswastaan,swasta
penaakulan,taakul
penajakan,tajak
penindakbalasan,tindak balas
keabadian,abadi
keadaan,ada
keadilan,adil
keagamaan,agama
keagungan,agung
keahlian,ahli
keaiban,aib
keajaiban,ajaib
keakraban,akrab
keaktifan,aktif
keakuran,akur
kealiman,alim
kealpaan,alpa
keamanan,aman
keampuhan,ampuh
keanehan,aneh
keanggotaan,anggota
keanggunan,anggun
keberangkatan,berangkat
keangkuhan,angkuh
keanjalan,anjal
keantikan,antik
kearifan,arif
keasidan,asid
keaslian,asli
keasyikan,asyik
keayuan,ayu
keazaban,azab
keazaman,azam
kebaculan,bacul
kepelbagaian,pelbagai
kebagusan,bagus
kebahagiaan,bahagia
kebahasaan,bahasa
kebaikan,baik
kebakaran,bakar
kebakhilan,bakhil
kebaktian,bakti
kebalighan,baligh
kebangatan,bangat
kebanggaan,bangga
kebangsaan,bangsa
kebangsawanan,bangsawan
kebanjiran,banjir
kebanyakan,banyak
kebapaan,bapa
kebaratan,barat
kebatasan,batas
kebatinan,batin
kebebasan,bebas
kebelakangkan,belakang
kesebelasan,sebelas
kebenaran,benar
kebencian,benci
kebendaan,benda
kebengisan,bengis
kebeningan,bening
kebenuaan,benua
keberahian,berahi
keberanian,berani
keberatan,berat
keberkatan,berkat
kebersihan,bersih
kebetulan,betul
kebiadaban,biadab
kebiaran,biar
kebiasaan,biasa
kebidanan,bidan
kebijakan,bijak
kebijaksanaan,bijaksana
kebimbangan,bimbang
kebinasaan,binasa
kebinatangan,binatang
kebingitan,bingit
kebingungan,bingung
kebirahan,birah
kebisaan,bisa
kebisingan,bising
kebisuan,bisu
kebodohan,bodoh
kebogelan,bogel
kebohongan,bohong
kebolehan,boleh
kebolehpercayaan,bolehpercaya
kebombaan,bomba
kebongkakan,bongkak
keborosan,boros
kebosanan,bosan
kebotakan,botak
kebuasan,buas
kebuayaan,buaya
kebudayaan,budaya
kebumikan,bumi
kebuntuan,buntu
keburukan,buruk
kebusukan,busuk
kebutaan,buta
kebutuhan,butuh
kecabaian,cabai
kecacatan,cacat
kecanduan,candu
kecanggihan,canggih
kecanggungan,canggung
kecantikan,cantik
kecapaian,capai
kecapikan,capik
kecederaan,cedera
kecekalan,cekal
kecekapan,cekap
kecelakaan,celaka
kecelaruan,celaru
kecemasan,cemas
kecemerlangan,cemerlang
kecenderungan,cenderung
kecerahan,cerah
kecerdasan,cerdas
kecerdikan,cerdik
kecergasan,cergas
keceriaan,ceria
kecermatan,cermat
kecerunan,cerun
kecetekan,cetek
keciciran,cicir
kecocokan,cocok
kecondongan,condong
kecuaian,cuai
kecukupan,cukup
kecurangan,curang
kecurigaan,curiga
kedaerahan,daerah
kedahagaan,dahaga
kedahsyatan,dahsyat
kedaifan,daif
kedamaian,damai
kedangkalan,dangkal
kedapuran,dapur
kedaraan,dara
kedatangan,datang
kedaulatan,daulat
kedegilan,degil
kedengaran,dengar
kedengkian,dengki
kedermawanan,derma
kedesaan,desa
kedewasaan,dewasa
kediaman,diam
kedinamikan,dinamik
kedinginan,dingin
kedoktoran,doktor
kedongkolan,dongkol
kedudukan,duduk
kedukaan,duka
keduniaan,dunia
kedurjanaan,durjana
kedutaan,duta
keegoan,ego
keemasan,emas
keenakan,enak
keengganan,enggan
keeratan,erat
keesaan,esa
keesokan,esok
kefanatikan,fanatik
kefasihan,fasih
kegadisan,gadis
kegagahan,gagah
kegagalan,gagal
keganasan,ganas
keganjilan,ganjil
kegatalan,gatal
kegawatan,gawat
kegelapan,gelap
kegelian,geli
kegelisahan,gelisah
kegelojohan,gelojoh
kegemaran,gemar
kegembiraan,gembira
kegemilangan,gemilang
kegemparan,gempar
kegemukan,gemuk
kegenitan,genit
kegentingan,genting
kegeraman,geram
kegeringan,gering
kegetiran,getir
keghaiban,ghaib
keghairahan,ghairah
kegiatan,giat
kegigihan,gigih
kegilaan,gila
kegirangan,girang
kegopohan,gopoh
kegugupan,gugup
keguguran,gugur
kepenggunaan,guna
kegundahan,gundah
kegusaran,gusar
kehadiran,hadir
kehairanan,hairan
kehaiwanan,haiwan
kehakiman,hakim
kehalusan,halus
kehamilan,hamil
kehamisan,hamis
kehampaan,hampa
kehancingan,hancing
kehangatan,hangat
kehangitan,hangit
kehangusan,hangus
kehanyiran,hanyir
keharmonian,harmoni
keterharuan,terharu
keharusan,harus
kehausan,haus
kehebatan,hebat
kehebohan,heboh
keheningan,hening
kehibaan,hiba
kehidupan,hidup
kehilangan,hilang
kehinaan,hina
kehingaran,hingar
kehoranan,horan
kehujanan,hujan
kehukuman,hukum
kehutanan,hutan
keibuan,ibu
keibubapaan,ibu bapa
keikhlasan,ikhlas
keikliman,iklim
keikraban,ikrab
keilmuan,ilmu
keimaman,imam
keimanan,iman
keindahan,indah
keinderaan,indera
keinginan,ingin
keingkaran,ingkar
keinsafan,insaf
keinsanan,insan
keintelektualan,intelektual
keintiman,intim
keislaman,islam
keistimewaan,istimewa
keizinan,izin
kejaguhan,jaguh
kejahatan,jahat
kejahilan,jahil
kejaksaan,jaksa
kejalangan,jalang
kejanggalan,janggal
kejantanan,jantan
kejasmanian,jasmani
kejatian,jati
kejayaan,jaya
kejelasan,jelas
kejelikan,jelik
kejelitaan,jelita
kejemawaan,jemawa
kejemuan,jemu
kejenakaan,jenaka
kejengkelan,jengkel
kejenuhan,jenuh
kejerihan,jerih
kejernihan,jernih
kejijikan,jijik
kejiranan,jiran
kejituan,jitu
kejiwaan,jiwa
kejohanan,johan
kejuaraan,juara
kejujuran,jujur
kejuruan,juru
kejurulatihan,jurulatih
kejururawatan,jururawat
kejuruteraan,jurutera
kekaburan,kabur
kekacakan,kacak
kekafiran,kafir
kekaguman,kagum
kekaisaran,kaisar
kekalahan,kalah
kekalutan,kalut
kekananan,kanan
kekandasan,kandas
kekaraman,karam
kekariban,karib
kekarutan,karut
kekasaran,kasar
kekayaan,kaya
kebajikan,kebajikan
kebalkan,balk
kekebalan,kebal
keban,keban
kebayan,kebayan
kecaman,kecaman
kecapan,kecap
kecewakan,kecewa
kekecewaan,kecewa
kecilkan,kecil
kecilan,kecil
kecindan,kecindan
kekecohan,kecoh
kecualian,kecuali
kecutkan,kecut
kekecutan,kecut
kedaian,kedai
kedayan,kedayan
kedipan,kedip
kedutan,kedut
kekejaman,kejam
kejan,kejan
kekejangan,kejang
kejapan,kejap
kejarkan,kejar
kejaran,kejar
kekejian,keji
kekejutan,kejut
kekalkan,kekal
kekekalan,kekal
kekangan,kekang
kelabangan,kelabang
kelabuan,labu
keladan,keladan
kekelaman,kelam
kelapan,lapan
kelapan-lapan,lapan
kelaran,kelar
kelaskan,kelas
kelekan,kelek
kelempayan,kelempayan
kelindan,kelindan
kelipkan,kelip
kelipan,kelipan
kelirukan,keliru
kekeliruan,keliru
kelodan,kelodan
kelolaan,kelola
kelompokan,kelompok
keluan,keluan
keluarkan,luar
keluaran,luar
kekeluargaan,keluarga
keluhan,keluh
keman,keman
kemanakan,mana
kemantan,mantan
kemaskan,kemas
kemasan,kemas
kembalikan,kembali
kemban,kemban
kembangkan,kembang
kembangan,kembang
kembaran,kembar
kemburan,kembur
kemenyan,kemenyan
kempaan,kempaan
kempiskan,kempis
kempunan,kempunan
kemudikan,kemudi
kemudian,kemudian
kemudiankan,kemudian
kemutan,kemut
kenalkan,kenal
kenalan,kenal
kenan,kenan
kenangan,kenang
kekencangan,kencang
kendalikan,kendali
kendalian,kendali
kenderaan,kenderaan
kendurkan,kendur
kekenduran,kendur
kenerian,kenerian
kentalan,kental
kekenyalan,kenyal
kekenyangan,kenyang
kenyitan,kenyit
kenyutan,kenyut
kepalan,kepalan
kepangan,kepang
kepingan,keping
kepitan,kepit
kepulan,kepulan
kepundan,kepundan
kepungan,kepung
kerahkan,kerah
kerahan,kerah
keran,keran
kerangan,kerangan
kekerapan,kerap
keraskan,keras
kerasan,keras
keratan,kerat
kerdan,kerdan
kekerdilan,kerdil
kerdipkan,kerdip
kerdipan,kerdip
kerenan,kerenan
keretan,keretan
kerian,kerian
kerikan,kerik
kerinan,kerinan
keringkan,kering
kekeringan,kering
keringatan,kering
kekontangan,kontang
kerisikan,risik
kerjakan,kerja
kerlingan,kerling
kerlipan,kerlip
kerman,kerman
keroncongan,keroncong
keroyokan,keroyok
keruan,keruan
kerubian,kerubian
keruhkan,keruh
kekeruhan,keruh
kerumunan,kerumun
kerutkan,kerut
kerutan,kerut
kesalan,kesal
kesalkan,kesal
kesan,kesan
keberkesanan,kesan
kesatkan,kesat
kesembilan,sembilan
kesian,kesian
kesimbukan,simbukan
kesinambungan,sinambung
kesinan,kesinan
kesmaran,kesmaran
ketaban,ketaban
ketan,ketan
ketatkan,ketat
ketawakan,ketawa
ketemukan,temu
ketengan,ketengan
ketidakadilan,tidak adil
ketidakaktifan,tidak aktif
ketidakakuran,tidak akur
ketidakbenaran,tidak benar
ketidakberhasilan,tidak hasil
ketidakcekapan,tidak cekap
ketidakfahaman,tidak faham
ketidakfungsian,tidak fungsi
ketidakhadiran,tidak hadir
ketidakharmonian,tidak harmoni
ketidakmampuan,tidak mampu
ketidaknormalan,tidak normal
ketidakpastian,tidak pasti
ketidakpatuhan,tidak patuh
ketidakpercayaan,tidak percaya
ketidakpuasan,tidak puas
ketidaksamaan,tidak sama
ketidaksefahaman,tidak faham
ketidakseimbangan,tidak imbang
ketidaksehaluan,tidak haluan
ketidakselarasan,tidak selaras
ketidakselesaan,tidak selesa
ketidaksenangan,tidak senang
ketidakseragaman,tidak seragam
ketidakserasian,tidak serasi
ketidakseriusan,tidak serius
ketidaksetujuan,tidak setuju
ketidakstabilan,tidak stabil
ketidaksuburan,tidak subur
ketidaktahuan,tidak tahu
ketidaktelusan,tidak telus
ketidaktenteraman,tidak tenteram
ketidaktentuan,tidak tentu
ketidakupayaan,tidak upaya
ketikan,ketik
ketuban,ketuban
ketukan,ketuk
ketulan,ketul
ketumbukan,tumbuk
kekhilafan,khilaf
kekhuatiran,khuatir
kekhusyukkan,khusyuk
kekitaan,kita
kekolotan,kolot
kekosongan,kosong
kekotaan,kota
kekuasaan,kuasa
kekuatan,kuat
kekudusan,kudus
kekukuhan,kukuh
kekunoan,kuno
kekurangan,kurang
kekurusan,kurus
kekusaman,kusam
kekusutan,kusut
kelahiran,lahir
kelainan,lain
kelajuan,laju
kelakian,laki
kelelakian,lelaki
kelakuan,laku
kelalaian,lalai
keterlaluan,terlalu
kelaluan,lalu
kelamaan,lama
kelambatan,lambat
kelampauan,lampau
kelancangan,lancang
kelangkahan,langkah
kelangsungan,langsung
keterlanjuran,lanjur
kelantangan,lantang
kelaparan,lapar
kelapukan,lapuk
keselarasan,selaras
kelasakan,lasak
kelatahan,latah
kelayakan,layak
kelazatan,lazat
kelaziman,lazim
kelebaran,lebar
kelebatan,lebat
kelegaan,lega
kelekaan,leka
kelemahan,lemah
kelemasan,lemas
kelembaman,lembam
kelembapan,lembap
kelembikan,lembik
kelembutan,lembut
kelenaan,lena
kelengahan,lengah
kelengkapan,lengkap
kelenguhan,lenguh
kelenyapan,lenyap
kelesuan,lesu
keletihan,letih
kelewatan,lewat
keliaran,liar
keliatan,liat
kelicikan,licik
kelicinan,licin
kelihatan,lihat
kelikatan,likat
kelincahan,lincah
kelonggaran,longgar
keluarbiasaan,luarbiasa
keluasan,luas
kelucahan,lucah
kelucuan,lucu
keluhuran,luhur
kelukaan,luka
kelumpuhan,lumpuh
kelunakan,lunak
kelunturan,luntur
kelurusan,lurus
kelusuhan,lusuh
kemaafan,maaf
kemahiran,mahir
kemahkotaan,mahkota
kemahuan,mahu
kemajuan,maju
kemakmuran,makmur
kemalangan,malang
kemalaran,malar
kemalasan,malas
kemaluan,malu
kemampuan,mampu
kemancungan,mancung
kemandulan,mandul
kemangkatan,mangkat
kemantapan,mantap
kemanusiaan,manusia
kemapanan,mapan
kemaraan,mara
kemasinan,masin
kemaslahatan,maslahat
kemasukan,masuk
kemasyarakatan,masyarakat
kemasyhuran,masyhur
kematangan,matang
kematian,mati
kemegahan,megah
kemelaratan,melarat
kemelayuan,melayu
kemelesetan,meleset
kemenangan,menang
kemengkalan,mengkal
kementerian,menteri
kemerdekaan,merdeka
kemerduan,merdu
kemeriahan,meriah
kemesraan,mesra
kemestian,mesti
kemewahan,mewah
kemiskinan,miskin
ketermiskinan,miskin
kemodenan,moden
kemuafakatan,muafakat
kemualan,mual
kemudahan,mudah
kemudaratan,mudarat
kemuflisan,muflis
kemujaraban,mujarab
kemujuran,mujur
kemuliaan,mulia
kemunafikan,munafik
kemunasabahan,munasabah
kemunculan,muncul
kemunduran,mundur
kemungkaran,mungkar
kemungkinan,mungkin
kemuraman,muram
kemurkaan,murka
kemurnian,murni
kemurungan,murung
kemusnahan,musnah
kemustahilan,mustahil
kemustajaban,mustajab
kemusykilan,musykil
kemusyrikan,musyrik
kenabian,nabi
kenahasan,nahas
kenaifan,naif
kenaikan,naik
kenajisan,najis
kenakalan,nakal
kenamaan,nama
kenampakan,nampak
kenegaraan,negara
kenegerian,negeri
kenekatan,nekat
kenerakaan,neraka
kenestapaan,nestapa
keneutralan,neutral
kengerian,ngeri
kengiluan,ngilu
kenikmatan,nikmat
kenyamanan,nyaman
kenyaringan,nyaring
kenyataan,nyata
keobjektifan,objektif
keolahragaan,olahraga
keonaran,onar
keseorangan,seorang
kepagian,pagi
kepahitan,pahit
kepahlawanan,pahlawan
kepakaran,pakar
kepalsuan,palsu
kepanasan,panas
kepandaian,pandai
kepangkatan,pangkat
kepanjangan,panjang
